horizon_hours,fold,origin,train_rows,validation_rows,test_rows,model,rmse_improvement,rmse,mae,wmape,peak_rmse
1,1,2024-05-28,757440,88368,176736,same_hour_last_week,0.0,14.882103712477154,4.4271059659605285,0.23668685771121645,44.418642050745994
1,1,2024-05-28,757440,88368,176736,lightgbm,0.21463944938082524,11.687817166002722,3.5292426951244726,0.1886842939906995,34.95365238702769
1,2,2024-08-31,1357080,88368,176736,same_hour_last_week,0.0,16.012823317331318,4.61245020822017,0.24289840700961063,46.95047865519237
1,2,2024-08-31,1357080,88368,176736,lightgbm,0.29391033148143586,11.306489108180804,3.530953678949346,0.1859452102730603,33.13283898336297
1,3,2024-12-04,1956720,88368,176736,same_hour_last_week,0.0,24.740787034622045,6.762651638602209,0.3587833945562487,74.13609905755641
1,3,2024-12-04,1956720,88368,176736,lightgbm,0.4266314736312308,14.185588603244794,4.201285978718452,0.22289358161552983,42.84198469879583
6,1,2024-05-28,757440,88368,176736,same_hour_last_week,0.0,14.882103712477154,4.4271059659605285,0.23668685771121645,44.418642050745994
6,1,2024-05-28,757440,88368,176736,lightgbm,0.19377634336526117,11.998304073490752,3.6177359318027236,0.19341541772686374,36.095552142692256
6,2,2024-08-31,1357080,88368,176736,same_hour_last_week,0.0,16.012823317331318,4.61245020822017,0.24289840700961063,46.95047865519237
6,2,2024-08-31,1357080,88368,176736,lightgbm,0.2378077510400829,12.204849816434557,3.7746506692447395,0.19877865195017466,35.8212642222445
6,3,2024-12-04,1956720,88368,176736,same_hour_last_week,0.0,24.740787034622045,6.762651638602209,0.3587833945562487,74.13609905755641
6,3,2024-12-04,1956720,88368,176736,lightgbm,0.3826959594285724,15.272587803389378,4.480676141217925,0.23771625122266957,45.77665224997744
24,1,2024-05-28,757440,88368,176736,same_hour_last_week,0.0,14.882103712477154,4.4271059659605285,0.23668685771121645,44.418642050745994
24,1,2024-05-28,757440,88368,176736,lightgbm,0.12986588088145967,12.949426204487066,3.8518172986921178,0.20593013583024583,38.84803707527935
24,2,2024-08-31,1357080,88368,176736,same_hour_last_week,0.0,16.012823317331318,4.61245020822017,0.24289840700961063,46.95047865519237
24,2,2024-08-31,1357080,88368,176736,lightgbm,0.21510609520352153,12.568367420356278,3.8339373327234516,0.20190077478420107,36.930170167782975
24,3,2024-12-04,1956720,88368,176736,same_hour_last_week,0.0,24.740787034622045,6.762651638602209,0.3587833945562487,74.13609905755641
24,3,2024-12-04,1956720,88368,176736,lightgbm,0.30439655433147816,17.209776709834184,4.914146719432918,0.260713450221431,51.277386449337804
