horizon_hours,model,split,rmse,mae,wmape,peak_rmse
1,same_hour_last_week,validation,22.740792128951483,6.114045808437443,0.2781800385847719,67.30235941870716
1,lightgbm,validation,13.759374144698347,4.007836086571284,0.18235061236624495,40.44121554505186
1,same_hour_last_week,test,26.590777715833408,7.4112574687669746,0.47148558873245927,81.73964890874278
1,lightgbm,test,12.151229010412369,3.7776546841570653,0.24032490441653123,37.61027793921007
6,same_hour_last_week,validation,22.740792128951483,6.114045808437443,0.2781800385847719,67.30235941870716
6,lightgbm,validation,13.72327139819466,4.0043744355415205,0.18219311236588553,40.35804865497349
6,same_hour_last_week,test,26.590777715833408,7.4112574687669746,0.47148558873245927,81.73964890874278
6,lightgbm,test,15.174288274141457,4.498026346975644,0.2861531405804417,46.3103662541071
24,same_hour_last_week,validation,22.740792128951483,6.114045808437443,0.2781800385847719,67.30235941870716
24,lightgbm,validation,15.40842460881022,4.373876079684855,0.199004890498637,45.37680942083676
24,same_hour_last_week,test,26.590777715833408,7.4112574687669746,0.47148558873245927,81.73964890874278
24,lightgbm,test,17.35103208586871,5.0226853578545105,0.31953062930897286,52.70876641787376
